metadata_id,location_name,simulation_location_id,latitude_wgs84,longitude_wgs84,source_type,source_dataset,observation_start,observation_end,spatial_inclusion_rule,weight_basis,evidence_type,notes
TCBIS_2160005000,이동616,2160005000,37.31348427626731,126.8594025742019,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160026200,속성변화점,2160026200,37.31500505769247,126.8644062296338,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160026400,생수교회,2160026400,37.31557083902048,126.8650026060557,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2170021400,화정15교,2170021400,37.30817205758139,126.8213117613967,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160001102,본오교회삼거리,2160001102,37.28536891117284,126.866098317873,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160009600,명신2교,2160009600,37.28807383900768,126.8538337611389,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160015200,우리동네커피공장,2160015200,37.30103358873478,126.8399815118595,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160015900,새누리장애인부모연대안산지부,2160015900,37.30163812035988,126.8456974181121,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160016800,속성변화점,2160016800,37.30243215132403,126.8471805432388,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160017700,석호초교사거리,2160017700,37.30336277619733,126.8472541365224,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160018801,사동1595,2160018801,37.30465794687083,126.8459258927175,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160024200,학현초교사거리,2160024200,37.31153027629499,126.8479306991759,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160024800,세븐일레븐안산이동점,2160024800,37.31201371366803,126.8612958870754,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160113000,사동1600,2160113000,37.30372609438136,126.845889123219,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160113100,사동1600,2160113100,37.30440934940885,126.8459016152459,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2160114600,사동1613,2160114600,37.3022595500732,126.8379148558114,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2170005900,중앙지하차도,2170005900,37.31673502685776,126.8342893555455,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2170006100,로얄헤리티지호텔,2170006100,37.31679099527439,126.8332872294889,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2170006200,한양빌딩사거리,2170006200,37.31695046388506,126.8304947309978,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2170012900,속성변화점,2170012900,37.30188721340132,126.8184111373287,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
TCBIS_2170013900,초지동784,2170013900,37.30344593289313,126.8195735118917,TCBIS_stop,"Transportation Card Big Data Integrated Information System (TCBIS), Route and Stop Indicators > Station-level Usage Volume",2024-05-11,2024-05-24,All public transit stops located within the geographic boundary of the study area.,"Observed hourly boarding and alighting volumes over the 14-day observation period, aggregated by stop and hour and converted to relative weights.",observed third-party public transit data,The processed values used by the simulation are included in Demand.xlsx. Individual raw stop-query files are not required for simulation execution.
